Year,SQC,Definition ,Source,Project Domain,Reference,Technical,Environmental,Economic,Social
,Health And Safety Risk Mitigation,Degree to which the technologies behind an XR conference mitigate the potential health risk to people in the intended contexts of use.,Group 2022 - 21,Conference and Events,simplified from [ISO/IEC 25010:2011] with making own adjusments to fit the domain,,,,X
,Trust,Degree to which the attendees of an XR conference or the organisers of an XR conference have confidence that the XR conference will behave as intended. ,Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,,,,X
,User Addiction,Degree to which users of the XR technology can have control over their use of the XR technology.,Group 2022 - 21,Conference and Events,Group 21 definiton,,,,X
,Enhanced Participation,Degree to which the number of participants in an event (conference) can increase.,Group 2022 - 21,Conference and Events,Group 21 definiton,,,,X
,Time Behaviour,"Degree to which the response and processing times of an XR conference, when performing its functions, meet requirements.",Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,X,,,
,Operability,Degree to which the technologies behind an XR conference have attributes that make it easy to operate and control.,Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,X,,,
,Interoperability,Degree to which a system can exchange information with other systems and use the information.,Group 2022 - 21,Conference and Events,simplified from [ISO/IEC 25010:2011],X,,,
,Integrity,"Degree to which the technologies behind an XR conference prevent unauthorised access to, or modification of, personal data (Cybersecurity).",Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,X,,,
,Robustness,The degree to which the technologies behind an XR conference behave in an acceptable way in unexpected situations.,Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,X,,,
,Maturity,Degree to wich the technologies behind an XR conference meet needs for reliability under normal operation. ,Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,X,,,
,Enhanced Payment Safety,Degree to which the payment system is secure.,Group 2022 - 21,Conference and Events,Group 21 definiton,X,,,
,CO2 Emissions,Degree to which XR conferencing contributes to minimising CO2 emissions.,Group 2022 - 21,Conference and Events,Group 21 definiton,,X,,
,Ecological Footprint,Degree to which XR conferencing contributes to minimising the ecological footprint.,Group 2022 - 21,Conference and Events,Group 21 definiton,,X,,
,Economic Risk Mitigation,Degree to which XR conferencing minimises conferences' expenses for both attendees and organisers.,Group 2022 - 21,Conference and Events,Group 21 definiton,,,X,
,Efficiency,Resources expended (energy cosumed) in relation to the accuracy and completeness with which attendees of an XR conference achieve goals.,Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,,,X,
,Reliability,Degree to which a system or component operates as intended despite the presence of hardware or software faults.,Group 2022 - 22,Music festival and Events,[ISO/IEC 25010:2011],X,,,
,Regulation Compliance,The Degree to which a system allows to draw conclusions about how wellthe software adheres to application related regulations in laws.,Group 2022 - 22,Music festival and Events,adapted from [Condori-Fernanez et al. (2020)],X,,,
,Satisfaction,"The degree to which a user is satisfied with their perceived achievement of pragmatic goals, including the results of use and the consequences of use.",Group 2022 - 22,Music festival and Events,[ISO/IEC 25010:2011],,,,X
,Feasibility,Degree to which a system is technicaly possible to emplement.,Group 2022 - 22,Music festival and Events,Self Written,X,,,
,Scalability,The degree to which a computing process is able to be used or produced in a range of capabilities.,Group 2022 - 22,Music festival and Events,adapted from [Condori-Fernanez et al. (2020)],X,,,
,Adaptability,"Degree to which a system can effectively and efficiently be adapted for different or evolving hardware, software or other opetational or usage environmental.",Group 2022 - 22,Music festival and Events,[ISO/IEC 25010:2011],,,,X
,Technological Dependency,Degree to which a system depends on the new technology.,Group 2022 - 22,Music festival and Events,Self Written,X,,,
,Social Acceptance,Degree to which a system is acceptable to the users from the perpective of overall behavioural change.,Group 2022 - 22,Music festival and Events,Self Written,,,,X
,Cost Efficiency,Degree to which a system is able to achieve the cost benefit goals and accepted by the users.,Group 2022 - 22,Music festival and Events,Self Written,,,X,
,Energy Efficiency,Degree to which a system is able to achieve the goal of energy savings.,Group 2022 - 22,Music festival and Events,Self Written,,X,,
,Trust,The degree to which customers trust companies with their data and their money.,Group 2022 - 23,Music festival and Events,,X,,,
,Customer Satisfaction,The degree to which customers are satisfied with a service/product.,Group 2022 - 23,Music festival and Events,,,,,X
,Functional Corectness,The degree to which a product or system provides the correct results with the needed degree of precision.,Group 2022 - 23,Music festival and Events,[ISO/IEC 25010:2011],X,,,
,Development Costs,The amount of money and manpower it takes to create an application.,Group 2022 - 23,Music festival and Events,,,,X,
,Usefulness,The quality or state of being useful.,Group 2022 - 23,Music festival and Events,Cambridge Dictionary,X,,,
,Waste,The amount of paper and plastic waste left at an event.,Group 2022 - 23,Music festival and Events,,,X,,
,Personnel Costs,The amount of money it costs to hire the required personnel for a task.,Group 2022 - 23,Music festival and Events,,,,X,
,Customer Safety,The degree to which a customer feels safe at an event.,Group 2022 - 23,Music festival and Events,,,,,X
,Profit,The amount of money a company is left with after deducting their income from their expenses.,Group 2022 - 23,Music festival and Events,,,,X,
,Ticket Prices,The amount of money it costs to buy a ticket for an event.,Group 2022 - 23,Music festival and Events,,,,X,
,Health And Safety Risk Mitigation,Health and safety risk management is a process where we do what we can to minimize the risks associated with health and safety hazards.,Group 2022 - 23,Music festival and Events,Queensland Government Education,,,,X
,Survivability,The degree to which an application/company can exist for a long time.,Group 2022 - 23,Music festival and Events,,X,,,
,Customer Privacy,The degree to which a customer's data can not be traced back to him/her.,Group 2022 - 23,Music festival and Events,,,,,X
,Data Secyrity Costs,The amount of money it costs to make data storage secure.,Group 2022 - 23,Music festival and Events,,,,X,
,Functional Appropriateness,degree to which the functions facilitate the accomplishment of specified tasks and objectives.,Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],X,,,
,Resource Utilization,"degree to which the amounts and types of resources used by a system, when performing its.",Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],,X,,
,Maturity,Degree to which a system meets needs for reliability under normal operation degree to which a system or component operates as intended despite the presence of hardware or software faults.,Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],X,,,
,,,,Art industry,,,,,
,Fault Tolerance,,,Art industry,[ISO/IEC 25010:2011],X,,,
,,,,Art industry,,,,,
,Availability,degree to which a system or component is operational and accessible when required for use.,Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],X,,,
,,degree to which availability supports economic factors.,Group 2022 - 24,Art industry,,,,X,
,,Degree to which this supports the social aspects the degree to which a system behaves in an acceptable way in unexpected situations.,Group 2022 - 24,Art industry,,,,,X
,Robustness,,,Art industry,[S-Cube Quality Reference Model (2012)],X,,,
,,,,Art industry,,,,,
,Accountability,Degree to which the actions of an entity can be traced uniquely to the entity.,Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],,,,X
,Confidentiality,Degree to which a system ensures that data are accessible only to those authorized to have access.,Group 2022 - 24,Art industry,[ISO/IEC 25010:2011],,,,X
,Pleasure,Degree to which the people like using the system.,Group 2022 - 24,Art industry,"[Standford Encyclopedia of Philosophy, (17.06.2017)",,,,X
,Energy Efficiency,Degree to which the system uses the energy.,Group 2022 - 24,Art industry,[Environmental and Energy Study Institute],,X,,
,Economic Risk Mitigation,Degree to which a system mitigates the potential risk to financial statusmin the intended contexts of use.,Group 2022 - 24,Art industry,simplified from [ISO/IEC 25010:2011],,,X,
